year,state,genre,event_count
2026,AL,hip-hop/rap,1
2026,AR,rock,1
2026,AZ,classical,1
2026,AZ,country,2
2026,AZ,hip-hop/rap,2
2026,AZ,holiday,1
2026,AZ,metal,1
2026,AZ,other/unclassified,1
2026,AZ,pop,5
2026,AZ,r&b,2
2026,AZ,reggae,1
2026,AZ,religious,1
2026,AZ,rock,5
2026,CA,alternative,11
2026,CA,blues,1
2026,CA,country,2
2026,CA,dance/electronic,3
2026,CA,hip-hop/rap,8
2026,CA,holiday,2
2026,CA,jazz,1
2026,CA,latin,6
2026,CA,metal,12
2026,CA,new age,1
2026,CA,other/unclassified,13
2026,CA,pop,22
2026,CA,r&b,5
2026,CA,religious,3
2026,CA,rock,51
2026,CA,world,4
2026,CO,country,3
2026,CO,dance/electronic,1
2026,CO,hip-hop/rap,1
2026,CO,metal,3
2026,CO,other/unclassified,2
2026,CO,pop,3
2026,CO,r&b,1
2026,CO,rock,1
2026,CT,metal,1
2026,DC,country,1
2026,DC,hip-hop/rap,1
2026,DC,pop,3
2026,DC,rock,1
2026,FL,alternative,3
2026,FL,country,3
2026,FL,dance/electronic,2
2026,FL,hip-hop/rap,3
2026,FL,holiday,2
2026,FL,jazz,1
2026,FL,latin,5
2026,FL,metal,2
2026,FL,pop,14
2026,FL,r&b,2
2026,FL,rock,18
2026,GA,children's music,2
2026,GA,country,2
2026,GA,hip-hop/rap,5
2026,GA,latin,1
2026,GA,metal,1
2026,GA,pop,8
2026,GA,r&b,1
2026,GA,rock,10
2026,HI,world,1
2026,IA,rock,1
2026,ID,new age,1
2026,ID,other/unclassified,1
2026,IL,alternative,1
2026,IL,children's music,2
2026,IL,country,3
2026,IL,dance/electronic,1
2026,IL,hip-hop/rap,6
2026,IL,jazz,1
2026,IL,metal,1
2026,IL,new age,1
2026,IL,other/unclassified,3
2026,IL,pop,9
2026,IL,r&b,1
2026,IL,rock,18
2026,IN,country,2
2026,IN,hip-hop/rap,1
2026,IN,new age,1
2026,IN,other/unclassified,1
2026,IN,pop,3
2026,IN,r&b,1
2026,IN,religious,1
2026,IN,rock,2
2026,KS,country,1
2026,KS,rock,1
2026,KY,alternative,1
2026,KY,blues,1
2026,KY,pop,2
2026,KY,rock,3
2026,LA,country,3
2026,LA,hip-hop/rap,1
2026,LA,r&b,2
2026,LA,rock,2
2026,MA,children's music,1
2026,MA,classical,1
2026,MA,country,1
2026,MA,dance/electronic,6
2026,MA,folk,1
2026,MA,hip-hop/rap,3
2026,MA,jazz,1
2026,MA,metal,2
2026,MA,other/unclassified,2
2026,MA,pop,8
2026,MA,rock,17
2026,MD,metal,1
2026,MD,pop,1
2026,MD,religious,1
2026,MD,rock,1
2026,MI,alternative,1
2026,MI,children's music,1
2026,MI,country,1
2026,MI,hip-hop/rap,1
2026,MI,metal,4
2026,MI,new age,1
2026,MI,other/unclassified,5
2026,MI,pop,5
2026,MI,r&b,1
2026,MI,rock,5
2026,MN,children's music,2
2026,MN,new age,1
2026,MN,other/unclassified,3
2026,MO,country,2
2026,MO,hip-hop/rap,1
2026,MO,other/unclassified,1
2026,MO,pop,1
2026,MO,religious,1
2026,MO,rock,2
2026,NC,country,2
2026,NC,hip-hop/rap,2
2026,NC,latin,1
2026,NC,pop,3
2026,NC,r&b,1
2026,NC,religious,2
2026,NC,rock,7
2026,ND,rock,1
2026,NE,dance/electronic,1
2026,NE,other/unclassified,1
2026,NE,pop,1
2026,NE,rock,2
2026,NJ,country,1
2026,NJ,hip-hop/rap,1
2026,NJ,latin,2
2026,NJ,metal,1
2026,NJ,pop,1
2026,NJ,r&b,4
2026,NJ,religious,1
