year,state,genre,genre_detailed,event_count
2022,AK,Country/Folk/Americana,americana,1
2022,AK,Country/Folk/Americana,contemporary country,1
2022,AK,Country/Folk/Americana,country pop,2
2022,AK,Country/Folk/Americana,folk,1
2022,AK,Country/Folk/Americana,indie folk,1
2022,AK,Punk/Hardcore,folk punk,1
2022,AK,Punk/Hardcore,melodic hardcore,1
2022,AK,Punk/Hardcore,psychobilly,1
2022,AK,Rock,alternative rock,2
2022,AK,Rock,hard rock,3
2022,AK,Rock,indie rock,3
2022,AK,Unknown,unknown,3
2022,AL,Country/Folk/Americana,country,2
2022,AL,Country/Folk/Americana,folk,1
2022,AL,Electronic/Dance,new age,1
2022,AL,Metal,metalcore,1
2022,AL,Metal,symphonic metal,1
2022,AL,Pop,indie pop,2
2022,AL,Pop,power pop,1
2022,AL,Punk/Hardcore,hardcore,2
2022,AL,Punk/Hardcore,post-hardcore,1
2022,AL,Punk/Hardcore,punk,2
2022,AL,Rock,alternative rock,1
2022,AL,Rock,indie rock,1
2022,AL,Rock,rock,1
2022,AL,Rock,rock music,2
2022,AL,Unknown,unknown,1
2022,AR,Country/Folk/Americana,country,2
2022,AR,Country/Folk/Americana,country music,1
2022,AR,Country/Folk/Americana,folk,2
2022,AR,Country/Folk/Americana,"folk, world, & country",1
2022,AR,Electronic/Dance,house,1
2022,AR,Punk/Hardcore,hardcore,3
2022,AR,Rock,alternative rock,1
2022,AR,Rock,art rock,1
2022,AR,Rock,indie,2
2022,AR,Unknown,unknown,6
2022,AZ,Country/Folk/Americana,americana,1
2022,AZ,Country/Folk/Americana,folk rock,2
2022,AZ,Electronic/Dance,dubstep,2
2022,AZ,Electronic/Dance,edm,1
2022,AZ,Electronic/Dance,electronic,3
2022,AZ,Electronic/Dance,future bass,1
2022,AZ,Jazz/Blues,contemporary jazz,1
2022,AZ,Pop,indie pop,1
2022,AZ,Punk/Hardcore,hardcore,1
2022,AZ,Punk/Hardcore,punk,2
2022,AZ,Punk/Hardcore,punk rock,1
2022,AZ,Rock,alternative,1
2022,AZ,Rock,hard rock,1
2022,AZ,Rock,indie rock,1
2022,AZ,Rock,jam band,1
2022,CA,Electronic/Dance,dance,2
2022,CA,Electronic/Dance,deep house,1
2022,CA,Electronic/Dance,edm,2
2022,CA,Electronic/Dance,electro house,1
2022,CA,Electronic/Dance,electronic,1
2022,CA,Electronic/Dance,house,1
2022,CA,Jazz/Blues,jazz,1
2022,CA,Other/Uncategorized,fusion,1
2022,CA,Other/Uncategorized,queer,1
2022,CA,Pop,pop,1
2022,CA,Punk/Hardcore,hardcore,1
2022,CA,R&B/Soul/Funk,r&b,1
2022,CA,R&B/Soul/Funk,soul,1
2022,CA,Rock,hard rock,1
2022,CA,Rock,soft rock,1
2022,CA,Unknown,unknown,3
2022,CO,Country/Folk/Americana,americana,1
2022,CO,Country/Folk/Americana,bluegrass,1
2022,CO,Country/Folk/Americana,country,1
2022,CO,Electronic/Dance,bass house,1
2022,CO,Electronic/Dance,dubstep,4
2022,CO,Electronic/Dance,electronic,5
2022,CO,Electronic/Dance,future bass,2
2022,CO,Pop,indie pop,1
2022,CO,Rock,hard rock,1
2022,CO,Rock,indie,1
2022,CO,Rock,rock,1
2022,CO,Unknown,unknown,1
2022,CT,Comedy/Spoken Word,comedy,1
2022,CT,Country/Folk/Americana,country,1
2022,CT,Country/Folk/Americana,folk,3
2022,CT,Country/Folk/Americana,singer-songwriter,2
2022,CT,Other/Uncategorized,experimental,2
2022,CT,Pop,indie pop,1
2022,CT,Pop,pop,1
2022,CT,Punk/Hardcore,punk,1
2022,CT,R&B/Soul/Funk,funk,1
2022,CT,R&B/Soul/Funk,soul,1
2022,CT,Rock,alternative,1
2022,CT,Rock,psychedelic rock,1
2022,CT,Rock,rock,2
2022,CT,Unknown,unknown,2
2022,DE,Comedy/Spoken Word,comedy,1
2022,DE,Country/Folk/Americana,country rock,1
2022,DE,Country/Folk/Americana,folk,2
2022,DE,Electronic/Dance,trip hop,1
2022,DE,Jazz/Blues,blues rock,1
2022,DE,Metal,doom metal,3
2022,DE,Metal,metal,1
2022,DE,Metal,metalcore,2
2022,DE,Rock,alternative rock,1
2022,DE,Rock,psychedelic,1
2022,DE,Rock,rock music,1
2022,DE,Unknown,unknown,5
2022,FL,Electronic/Dance,edm,3
2022,FL,Electronic/Dance,techno,1
2022,FL,Hip-Hop/Rap,crunk,1
2022,FL,Hip-Hop/Rap,hip hop,4
2022,FL,Hip-Hop/Rap,pop rap,1
2022,FL,R&B/Soul/Funk,contemporary r&b,2
2022,FL,R&B/Soul/Funk,funk,2
2022,FL,R&B/Soul/Funk,rnb,1
2022,FL,Rock,alternative rock,3
2022,FL,Rock,rock,1
2022,FL,Rock,surf rock,1
2022,GA,Country/Folk/Americana,country rock,1
2022,GA,Country/Folk/Americana,folk rock,2
2022,GA,Country/Folk/Americana,progressive bluegrass,2
2022,GA,Electronic/Dance,dance-pop,1
2022,GA,Electronic/Dance,melodic dubstep,1
2022,GA,Metal,melodic metalcore,1
2022,GA,Pop,indie pop,2
2022,GA,R&B/Soul/Funk,funk rock,2
2022,GA,Rock,hard rock,1
2022,GA,Rock,horror rock,1
2022,GA,Rock,indie rock,2
2022,GA,Rock,jam band,2
2022,GA,Unknown,unknown,2
2022,HI,Comedy/Spoken Word,comedy,2
2022,HI,Pop,pop,4
2022,HI,Reggae/Ska,reggae rock,8
2022,HI,Rock,alternative rock,2
2022,HI,Unknown,unknown,4
2022,IA,Christian/Gospel,christian rock,1
2022,IA,Classical,classical,1
2022,IA,Comedy/Spoken Word,cookbook,1
2022,IA,Country/Folk/Americana,contemporary country,1
2022,IA,Country/Folk/Americana,country,3
2022,IA,Country/Folk/Americana,folk,2
2022,IA,Electronic/Dance,new age,2
2022,IA,Metal,heavy metal,1
2022,IA,Pop,pop,2
2022,IA,R&B/Soul/Funk,soul,1
2022,IA,Rock,classic rock,1
2022,IA,Rock,hard rock,1
2022,IA,Rock,indie rock,1
2022,IA,Rock,surf rock,1
2022,IA,Unknown,unknown,1
2022,ID,Country/Folk/Americana,contemporary country,1
2022,ID,Country/Folk/Americana,country,1
2022,ID,Country/Folk/Americana,folk,1
2022,ID,Electronic/Dance,new age,2
2022,ID,Hip-Hop/Rap,alternative hip hop,2
2022,ID,Hip-Hop/Rap,crunk,1
2022,ID,Hip-Hop/Rap,g-funk,1
2022,ID,Hip-Hop/Rap,hip hop,2
2022,ID,Jazz/Blues,jazz,1
2022,ID,Metal,heavy metal,2
2022,ID,Other/Uncategorized,vocal,1
2022,ID,Pop,pop,2
2022,ID,Punk/Hardcore,emo,1
2022,ID,Rock,indie rock,1
2022,ID,Rock,southern rock,1
2022,IL,Country/Folk/Americana,bluegrass,1
2022,IL,Country/Folk/Americana,folk,1
2022,IL,Electronic/Dance,dance,1
2022,IL,Electronic/Dance,electronic,1
2022,IL,Electronic/Dance,house,1
2022,IL,Hip-Hop/Rap,hip-hop,1
2022,IL,Jazz/Blues,avant-garde jazz,1
2022,IL,Jazz/Blues,jazz-funk,1
2022,IL,Other/Uncategorized,club,1
2022,IL,Pop,indie pop,1
