year,state,genre,event_count
2022,AK,alternative rock,2
2022,AK,americana,1
2022,AK,contemporary country,1
2022,AK,country pop,2
2022,AK,folk,1
2022,AK,folk punk,1
2022,AK,hard rock,3
2022,AK,indie folk,1
2022,AK,indie rock,3
2022,AK,melodic hardcore,1
2022,AK,psychobilly,1
2022,AK,unknown,3
2022,AL,alternative rock,1
2022,AL,country,2
2022,AL,folk,1
2022,AL,hardcore,2
2022,AL,indie pop,2
2022,AL,indie rock,1
2022,AL,metalcore,1
2022,AL,new age,1
2022,AL,post-hardcore,1
2022,AL,power pop,1
2022,AL,punk,2
2022,AL,rock,1
2022,AL,rock music,2
2022,AL,symphonic metal,1
2022,AL,unknown,1
2022,AR,alternative rock,1
2022,AR,art rock,1
2022,AR,country,2
2022,AR,country music,1
2022,AR,folk,2
2022,AR,"folk, world, & country",1
2022,AR,hardcore,3
2022,AR,house,1
2022,AR,indie,2
2022,AR,unknown,6
2022,AZ,alternative,1
2022,AZ,americana,1
2022,AZ,contemporary jazz,1
2022,AZ,dubstep,2
2022,AZ,edm,1
2022,AZ,electronic,3
2022,AZ,folk rock,2
2022,AZ,future bass,1
2022,AZ,hard rock,1
2022,AZ,hardcore,1
2022,AZ,indie pop,1
2022,AZ,indie rock,1
2022,AZ,jam band,1
2022,AZ,punk,2
2022,AZ,punk rock,1
2022,CA,dance,2
2022,CA,deep house,1
2022,CA,edm,2
2022,CA,electro house,1
2022,CA,electronic,1
2022,CA,fusion,1
2022,CA,hard rock,1
2022,CA,hardcore,1
2022,CA,house,1
2022,CA,jazz,1
2022,CA,pop,1
2022,CA,queer,1
2022,CA,r&b,1
2022,CA,soft rock,1
2022,CA,soul,1
2022,CA,unknown,3
2022,CO,americana,1
2022,CO,bass house,1
2022,CO,bluegrass,1
2022,CO,country,1
2022,CO,dubstep,4
2022,CO,electronic,5
2022,CO,future bass,2
2022,CO,hard rock,1
2022,CO,indie,1
2022,CO,indie pop,1
2022,CO,rock,1
2022,CO,unknown,1
2022,CT,alternative,1
2022,CT,comedy,1
2022,CT,country,1
2022,CT,experimental,2
2022,CT,folk,3
2022,CT,funk,1
2022,CT,indie pop,1
2022,CT,pop,1
2022,CT,psychedelic rock,1
2022,CT,punk,1
2022,CT,rock,2
2022,CT,singer-songwriter,2
2022,CT,soul,1
2022,CT,unknown,2
2022,DE,alternative rock,1
2022,DE,blues rock,1
2022,DE,comedy,1
2022,DE,country rock,1
2022,DE,doom metal,3
2022,DE,folk,2
2022,DE,metal,1
2022,DE,metalcore,2
2022,DE,psychedelic,1
2022,DE,rock music,1
2022,DE,trip hop,1
2022,DE,unknown,5
2022,FL,alternative rock,3
2022,FL,contemporary r&b,2
2022,FL,crunk,1
2022,FL,edm,3
2022,FL,funk,2
2022,FL,hip hop,4
2022,FL,pop rap,1
2022,FL,rnb,1
2022,FL,rock,1
