artist_name,mbid,unknown_records
El Monstero,a27e5b1c-c522-4e55-9d3d-ec527727ef8e,10
Garcia Birthday Band,a9742f62-0d1c-4cfd-aafb-e5e71cfb26fc,9
Rob Schneider,f18bb7de-8885-4ed3-8e37-09c04db1a8de,8
Dobbs Dead,265077b9-e4e6-4a6e-9998-ce4957351a18,8
Mike Lewis Big Band,05b17081-906a-4c0e-bed0-dd0ad79ed82a,8
Badfish: A Tribute to Sublime,a7c9279c-5a3a-4dcc-b1f1-7d32cc37cc8b,7
Mechanical Canine,9cbfec65-0242-47f3-834f-412aa0d8bd1a,7
Disney on Ice,959634ff-1f72-480c-931e-aa71d910c990,6
Kellan Miller,0932c55e-cd77-41fd-b877-0eb44c205242,6
Start Making Sense,1c108d4b-7965-4626-933a-a2bfc6bcef7d,6
Bella’s Bartok,4f69b59a-3a31-4d69-9bf4-ef9ecf55fed8,5
Melissa Villaseñor,81771631-daf3-4f42-9724-ea078bcbaa79,5
The MoonCats,fa72ea16-35ca-4dd2-b11f-d26e6048531b,5
Same As It Ever Was,cc85df52-88fd-4028-b7bb-9af974845ef6,5
Bearly Dead,bc688e58-9a03-4f9d-ab82-bbc04582f63a,5
Forgotten Space,f4186309-1902-4a83-9213-209210148142,5
The Findells,1f504c4d-4a10-4e3f-a8cd-304876ac2451,4
Andy Coe Band,f52082d5-5430-4d03-ac99-d6b822d0bc4b,4
The Blue Side,20a6ad96-4715-4ba1-b3b1-7d5565c29a3e,4
Rain: A Tribute to the Beatles,31388273-6ebd-419f-82e1-dda50a733896,4
Hangöverkill,0a6fc6b0-27ce-486d-b780-f2cf9656b88b,4
Brooks Herring,78299670-d170-472f-996a-7627c8ef0383,4
Matt Mullins and the Bringdowns,d819fd69-3e6f-4e3f-b6ac-965689eabd90,4
The Shaky Calls,6de7b710-9d91-463f-b7c9-7217bb903a9d,4
The Kill Tony Band,331e7dcc-ddb8-4d79-9012-777488bb3ec7,3
Kill Tony,bcbf4066-e6f4-4e60-95bd-3f7a475cdb61,3
Justin Champagne,c9c8eb0c-dd42-4838-8897-d9e658a5a487,3
Ghost Mojo,f46040d5-2506-4190-a89d-f550c81456e1,3
Drums of Navarone,30cd76a5-eb39-4d26-9dce-0e7dadbdbb76,3
DeadPhish Orchestra,42117a1b-8846-4b09-b6a4-ea63d5d41145,3
Hyryder,fe212220-a88f-40d6-a457-a1007e3434cc,3
Heather Pierson,51bda9e3-1703-4024-aa0a-2992ff930cb9,3
Academy Order,149c1cd5-9dfa-4e53-a5e2-06971c2577f0,3
You Oughta Know,a3d6fffa-c069-4d69-a6ac-8b4ffe06d6ff,3
CrabGrass Bluegrass Band,2a64b5be-36ac-42ec-a59d-3a5fa96170c5,3
Prestigio del Norte,cf5359fd-a35e-408c-b452-b99ed11f992b,3
doug.,7dd89fea-a476-4640-9680-758149b6339a,3
The Quasi Kings,29c13855-9105-4415-afd0-e3e595d48a57,3
LAMPUS,3eadc410-bb9b-4147-96cd-bf7c5bd38dc7,3
CJ Solar,b719207a-dc82-40ab-bc8f-a91c1e225fdc,3
Matt Rupp,4c0d197c-7896-4efa-aa2c-e8e4d4975906,3
Herman’s Hermits Starring Peter Noone,d6ff5a2d-6a79-4f10-9e48-be8a5d111f30,3
