name,mbid
DJ Moon,2ed27ddf-8e93-4819-9aee-2eb5d2b9e3a0
Band of Silver,12465582-983e-4d3b-969e-b007224ee1bf
Armlock,0fd6c99a-5e17-4c66-8cfb-82a4011d0900
Charloux,8db3c10b-a231-4128-97ea-a6c850f180d9
Dark Chapel,c54e2f5b-b688-429f-8cc4-3eff17d308e9
Kevin Atwater,448665cd-e62d-4e48-abf6-096e9d1a71fb
Chad Gray,7c89e6f2-5e39-450b-bce6-0b9bfe68d732
Rum Jungle,a419f5d1-ed85-4910-98a0-468789bbd3c0
Stephen Dawes,58d25ebc-7c25-47c6-ad1c-0dc65c29f4ac
Mismiths,d819acaa-9ca3-4de6-b462-dc2f843548a8
Mr.Phylzzz,5f7595e4-0a69-429b-ada6-cc285ff69c82
Boy Seeking Band,3b4e83c4-bbd2-4d3c-bf81-b5aafe047767
brenn!,b44ded16-967d-40dd-b110-a7491592ba29
doug.,7dd89fea-a476-4640-9680-758149b6339a
Alice Bag,ddd2d0bf-4fa7-4fa1-995b-46ed4d689c0b
Midnight Generation,57613605-bb93-444d-980a-6e107692b958
Devil’s Cut,0126b8e1-e562-440f-a4ed-a58be22ec810
Squint,22ada323-e23c-4b60-9378-9e20f989ec4f
HEAVENSGATE,75955486-1f6c-4c26-bda4-d996b6ead56e
Tom Siletto,a3227620-04de-4287-8c0e-b2e85900d3ce
Hope Darling,58210a3b-66ec-424f-a6f9-86ef96f71374
The Rush Tribute Project,5fff61bb-fc53-4839-9cbe-06cd76f79fa0
Kofy Brown,66fa6276-4529-47bb-92f5-5d18e5bfaf09
Anything But Human,dac87f81-e008-445a-ad1d-63cf65678e40
Mike D,a8797304-f0b3-497b-a592-c09eac0fd9c8
Robert Lester Folsom,851ed4f5-5754-4175-a566-77ab082f72cc
Dazy,bdbcdae9-c729-4693-963a-5d63ec77b58d
Nice Strong Arm,51df475a-c3b2-4790-bc51-88795a42d7b8
Murals,7cfd84d1-2513-44c3-844b-320c9efedd72
Jasmine Cain,78bc3191-992b-43cf-b897-e61923869e25
Yacht Rock Revue,56241616-665f-4f02-ba23-67ded8b1bdf9
Zach John King,5a2ab31d-e000-4fb6-bea6-e494835dc20d
RIO KOSTA,07f13029-a900-45af-a306-e0a657655190
Brother Bird,675a5b00-9599-4e25-b798-d5d1664caeea
The Marble Creek Loops,89f4aebc-3498-4d17-ab29-525278eca5a7
Winona Fighter,18696c37-c6b4-47c0-898b-5db77305b6a7
Blight Town,d5ec1c41-fd4d-4d8c-8278-8c7a9f4c95f1
Bermuda Search Party,c68635f5-731b-4455-bc7c-0ddc48d8af64
La Reezy,62a678d1-1b0f-4f9c-80ab-9332d55cb999
Fly Guys,2a2cfb64-a566-4239-a834-4944b8b00c72
The Jess Novak Band,2ba41fe0-2e62-42d9-aa6f-3342aeaa8765
Drew & Ellie Holcomb,3f5189d9-47c4-466f-849f-73e82cfc7dc3
